序号,汉字,频度统计,频度顺序,频率,,
1846,族,74174,549,0.0386%,,
936,供,74168,550,0.0386%,,
1605,效,74009,551,0.0385%,,
1904,续,73927,552,0.0385%,,
1316,施,73861,553,0.0385%,,
1588,留,73287,554,0.0382%,,
489,讲,73220,555,0.0381%,,
1108,型,73216,556,0.0381%,,
1622,料,72778,557,0.0379%,,
1096,终,72533,558,0.0378%,,
2036,答,72421,559,0.0377%,,
1503,紧,72300,560,0.0377%,,
1729,黄,72199,561,0.0376%,,
1415,绝,72074,562,0.0375%,,
869,奇,71919,563,0.0375%,,
2347,察,71894,564,0.0374%,,
309,母,71462,565,0.0372%,,
991,京,71245,566,0.0371%,,
1251,段,71172,567,0.0371%,,
947,依,70632,568,0.0368%,,
546,批,70580,569,0.0368%,,
2259,群,70459,570,0.0367%,,
1112,项,70453,571,0.0367%,,
1148,故,70067,572,0.0365%,,
1132,按,69984,573,0.0364%,,
1021,河,69687,574,0.0363%,,
474,米,69668,575,0.0363%,,
625,围,69641,576,0.0363%,,
479,江,69602,577,0.0362%,,
1095,织,69482,578,0.0362%,,
1654,害,69462,579,0.0362%,,
154,斗,69456,580,0.0362%,,
172,双,69440,581,0.0362%,,
2277,境,69360,582,0.0361%,,
1369,客,69108,583,0.0360%,,
525,纪,69045,584,0.0360%,,
963,采,68946,585,0.0359%,,
1360,举,68924,586,0.0359%,,
433,杀,68776,587,0.0358%,,
553,攻,68747,588,0.0358%,,
131,父,68576,589,0.0357%,,
588,苏,68487,590,0.0357%,,
1886,密,68475,591,0.0357%,,
665,低,68424,592,0.0356%,,
1951,朝,68380,593,0.0356%,,
92,友,68196,594,0.0355%,,
751,诉,68147,595,0.0355%,,
102,止,68082,596,0.0355%,,
1093,细,67915,597,0.0354%,,
2295,愿,67915,598,0.0354%,,
39,千,67843,599,0.0353%,,
1550,值,67732,600,0.0353%,,
125,仍,67490,601,0.0351%,,
630,男,67405,602,0.0351%,,
1524,钱,67304,603,0.0351%,,
1487,破,67268,604,0.0350%,,
395,网,67118,605,0.0350%,,
1450,热,67051,606,0.0349%,,
619,助,66867,607,0.0348%,,
1553,倒,66634,608,0.0347%,,
1005,育,66551,609,0.0347%,,
2110,属,66374,610,0.0346%,,
679,坐,66293,611,0.0345%,,
1315,帝,66035,612,0.0344%,,
1081,限,66018,613,0.0344%,,
1811,船,65883,614,0.0343%,,
1821,脸,65727,615,0.0342%,,
1725,职,65272,616,0.0340%,,
1478,速,65094,617,0.0339%,,
1004,刻,65015,618,0.0339%,,
256,乐,64965,619,0.0338%,,
607,否,64772,620,0.0337%,,
392,刚,64622,621,0.0337%,,
1166,威,64559,622,0.0336%,,
114,毛,64522,623,0.0336%,,
703,状,64495,624,0.0336%,,
1849,率,64453,625,0.0336%,,
1136,甚,64438,626,0.0336%,,
1288,独,64201,627,0.0334%,,
1702,球,63913,628,0.0333%,,
1570,般,63739,629,0.0332%,,
2073,普,63570,630,0.0331%,,
1039,怕,63520,631,0.0331%,,
1894,弹,63417,632,0.0330%,,
1472,校,63200,633,0.0329%,,
833,苦,63194,634,0.0329%,,
440,创,63156,635,0.0329%,,
1807,假,62691,636,0.0326%,,
45,久,62588,637,0.0326%,,
2198,错,62401,638,0.0325%,,
1076,承,62285,639,0.0324%,,
255,印,62179,640,0.0324%,,
1770,晚,62142,641,0.0324%,,
272,兰,61951,642,0.0323%,,
1053,试,61912,643,0.0322%,,
975,股,61861,644,0.0322%,,
1573,拿,61798,645,0.0322%,,
1584,脑,61647,646,0.0321%,,
1696,预,61534,647,0.0320%,,
1675,谁,61528,648,0.0320%,,
1623,益,60896,649,0.0317%,,
505,阳,60867,650,0.0317%,,
834,若,60736,651,0.0316%,,
1222,哪,60708,652,0.0316%,,
2219,微,60484,653,0.0315%,,
292,尼,60474,654,0.0315%,,
1701,继,60428,655,0.0315%,,
1325,送,60182,656,0.0313%,,
1294,急,60141,657,0.0313%,,
425,血,59944,658,0.0312%,,
1879,惊,59724,659,0.0311%,,
416,伤,59632,660,0.0311%,,
1424,素,59100,661,0.0308%,,
1151,药,59090,662,0.0308%,,
1242,适,58927,663,0.0307%,,
1033,波,58859,664,0.0307%,,
994,夜,58839,665,0.0306%,,
1189,省,58642,666,0.0305%,,
748,初,58587,667,0.0305%,,
1926,喜,58449,668,0.0304%,,
61,卫,58408,669,0.0304%,,
2244,源,58145,670,0.0303%,,
1278,食,58110,671,0.0303%,,
1391,险,58047,672,0.0302%,,
1271,待,57757,673,0.0301%,,
854,述,57744,674,0.0301%,,
767,陆,57430,675,0.0299%,,
66,习,57329,676,0.0299%,,
2195,置,57255,677,0.0298%,,
1071,居,56307,678,0.0293%,,
586,劳,56119,679,0.0292%,,
644,财,56037,680,0.0292%,,
794,环,55971,681,0.0291%,,
1710,排,55938,682,0.0291%,,
2258,福,55871,683,0.0291%,,
782,纳,55597,684,0.0290%,,
519,欢,55294,685,0.0288%,,
2168,雷,55226,686,0.0288%,,
2481,警,55189,687,0.0287%,,
1460,获,55064,688,0.0287%,,
2285,模,54891,689,0.0286%,,
